      phi,        r
    0.0000,    1.0000
    0.0052,    1.0000
    0.0105,    1.0001
    0.0157,    1.0001
    0.0209,    1.0002
    0.0262,    1.0003
    0.0314,    1.0005
    0.0367,    1.0006
    0.0419,    1.0008
    0.0471,    1.0011
    0.0524,    1.0013
    0.0576,    1.0016
    0.0628,    1.0019
    0.0681,    1.0022
    0.0733,    1.0026
    0.0785,    1.0029
    0.0838,    1.0033
    0.0890,    1.0038
    0.0942,    1.0042
    0.0995,    1.0047
    0.1047,    1.0052
    0.1100,    1.0058
    0.1152,    1.0063
    0.1204,    1.0069
    0.1257,    1.0075
    0.1309,    1.0082
    0.1361,    1.0089
    0.1414,    1.0096
    0.1466,    1.0103
    0.1518,    1.0111
    0.1571,    1.0118
    0.1623,    1.0126
    0.1676,    1.0135
    0.1728,    1.0144
    0.1780,    1.0152
    0.1833,    1.0162
    0.1885,    1.0171
    0.1937,    1.0181
    0.1990,    1.0191
    0.2042,    1.0201
    0.2094,    1.0212
    0.2147,    1.0223
    0.2199,    1.0234
    0.2251,    1.0246
    0.2304,    1.0258
    0.2356,    1.0270
    0.2409,    1.0282
    0.2461,    1.0295
    0.2513,    1.0308
    0.2566,    1.0321
    0.2618,    1.0335
    0.2670,    1.0349
    0.2723,    1.0363
    0.2775,    1.0377
    0.2827,    1.0392
    0.2880,    1.0407
    0.2932,    1.0423
    0.2985,    1.0439
    0.3037,    1.0455
    0.3089,    1.0471
    0.3142,    1.0488
    0.3194,    1.0505
    0.3246,    1.0523
    0.3299,    1.0540
    0.3351,    1.0558
    0.3403,    1.0577
    0.3456,    1.0596
    0.3508,    1.0615
    0.3560,    1.0634
    0.3613,    1.0654
    0.3665,    1.0674
    0.3718,    1.0695
    0.3770,    1.0716
    0.3822,    1.0737
    0.3875,    1.0759
    0.3927,    1.0781
    0.3979,    1.0803
    0.4032,    1.0826
    0.4084,    1.0849
    0.4136,    1.0872
    0.4189,    1.0896
    0.4241,    1.0921
    0.4294,    1.0945
    0.4346,    1.0970
    0.4398,    1.0996
    0.4451,    1.1022
    0.4503,    1.1048
    0.4555,    1.1075
    0.4608,    1.1102
    0.4660,    1.1129
    0.4712,    1.1157
    0.4765,    1.1186
    0.4817,    1.1215
    0.4869,    1.1244
    0.4922,    1.1274
    0.4974,    1.1304
    0.5027,    1.1335
    0.5079,    1.1366
    0.5131,    1.1397
    0.5184,    1.1430
    0.5236,    1.1462
    0.5288,    1.1495
    0.5341,    1.1529
    0.5393,    1.1563
    0.5445,    1.1597
    0.5498,    1.1632
    0.5550,    1.1668
    0.5603,    1.1704
    0.5655,    1.1741
    0.5707,    1.1778
    0.5760,    1.1816
    0.5812,    1.1854
    0.5864,    1.1893
    0.5917,    1.1932
    0.5969,    1.1972
    0.6021,    1.2013
    0.6074,    1.2054
    0.6126,    1.2096
    0.6178,    1.2138
    0.6231,    1.2181
    0.6283,    1.2225
    0.6336,    1.2269
    0.6388,    1.2314
    0.6440,    1.2360
    0.6493,    1.2406
    0.6545,    1.2453
    0.6597,    1.2501
    0.6650,    1.2549
    0.6702,    1.2598
    0.6754,    1.2648
    0.6807,    1.2698
    0.6859,    1.2750
    0.6912,    1.2802
    0.6964,    1.2854
    0.7016,    1.2908
    0.7069,    1.2962
    0.7121,    1.3017
    0.7173,    1.3073
    0.7226,    1.3130
    0.7278,    1.3188
    0.7330,    1.3246
    0.7383,    1.3305
    0.7435,    1.3366
    0.7487,    1.3427
    0.7540,    1.3489
    0.7592,    1.3552
    0.7645,    1.3616
    0.7697,    1.3681
    0.7749,    1.3747
    0.7802,    1.3814
    0.7854,    1.3881
    0.7906,    1.3950
    0.7959,    1.4020
    0.8011,    1.4092
    0.8063,    1.4164
    0.8116,    1.4237
    0.8168,    1.4312
    0.8221,    1.4387
    0.8273,    1.4464
    0.8325,    1.4542
    0.8378,    1.4621
    0.8430,    1.4702
    0.8482,    1.4784
    0.8535,    1.4867
    0.8587,    1.4951
    0.8639,    1.5037
    0.8692,    1.5124
    0.8744,    1.5213
    0.8796,    1.5303
    0.8849,    1.5395
    0.8901,    1.5488
    0.8954,    1.5583
    0.9006,    1.5679
    0.9058,    1.5777
    0.9111,    1.5876
    0.9163,    1.5977
    0.9215,    1.6080
    0.9268,    1.6185
    0.9320,    1.6292
    0.9372,    1.6400
    0.9425,    1.6510
    0.9477,    1.6622
    0.9529,    1.6737
    0.9582,    1.6853
    0.9634,    1.6971
    0.9687,    1.7091
    0.9739,    1.7214
    0.9791,    1.7339
    0.9844,    1.7466
    0.9896,    1.7596
    0.9948,    1.7727
    1.0001,    1.7862
    1.0053,    1.7999
    1.0105,    1.8138
    1.0158,    1.8280
    1.0210,    1.8425
    1.0263,    1.8573
    1.0315,    1.8724
    1.0367,    1.8877
    1.0420,    1.9034
    1.0472,    1.9194
    1.0524,    1.9357
    1.0577,    1.9523
    1.0629,    1.9693
    1.0681,    1.9866
    1.0734,    2.0043
    1.0786,    2.0223
    1.0838,    2.0408
    1.0891,    2.0596
    1.0943,    2.0789
    1.0996,    2.0985
    1.1048,    2.1186
    1.1100,    2.1392
    1.1153,    2.1602
    1.1205,    2.1816
    1.1257,    2.2036
    1.1310,    2.2261
    1.1362,    2.2491
    1.1414,    2.2726
    1.1467,    2.2967
    1.1519,    2.3214
    1.1572,    2.3467
    1.1624,    2.3726
    1.1676,    2.3992
    1.1729,    2.4264
    1.1781,    2.4543
    1.1833,    2.4829
    1.1886,    2.5123
    1.1938,    2.5424
    1.1990,    2.5734
    1.2043,    2.6051
    1.2095,    2.6378
    1.2147,    2.6713
    1.2200,    2.7058
    1.2252,    2.7413
    1.2305,    2.7777
    1.2357,    2.8153
    1.2409,    2.8539
    1.2462,    2.8937
    1.2514,    2.9347
    1.2566,    2.9770
    1.2619,    3.0205
    1.2671,    3.0655
    1.2723,    3.1119
    1.2776,    3.1598
    1.2828,    3.2093
    1.2881,    3.2605
    1.2933,    3.3134
    1.2985,    3.3681
    1.3038,    3.4248
    1.3090,    3.4836
    1.3142,    3.5444
    1.3195,    3.6076
    1.3247,    3.6731
    1.3299,    3.7411
    1.3352,    3.8118
    1.3404,    3.8854
    1.3456,    3.9620
    1.3509,    4.0417
    1.3561,    4.1249
    1.3614,    4.2116
    1.3666,    4.3022
    1.3718,    4.3969
    1.3771,    4.4960
    1.3823,    4.5998
    1.3875,    4.7086
    1.3928,    4.8228
    1.3980,    4.9429
    1.4032,    5.0692
    1.4085,    5.2023
    1.4137,    5.3427
    1.4190,    5.4911
    1.4242,    5.6480
    1.4294,    5.8144
    1.4347,    5.9911
    1.4399,    6.1790
    1.4451,    6.3793
    1.4504,    6.5931
    1.4556,    6.8220
    1.4608,    7.0675
    1.4661,    7.3316
    1.4713,    7.6164
    1.4765,    7.9245
    1.4818,    8.2587
    1.4870,    8.6227
    1.4923,    9.0204
    1.4975,    9.4569
    1.5027,    9.9381
    1.5080,   10.4711
    1.5132,   11.0649
    1.5184,   11.7304
    1.5237,   12.4815
    1.5289,   13.3357
    1.5341,   14.3158
    1.5394,   15.4520
    1.5446,   16.7844
    1.5499,   18.3690
    1.5551,   20.2844
    1.5603,   22.6466
    1.5656,   25.6323
    1.5708,   29.5257
